HS_NO       NOTE
0303898990 其他冷凍魚類
0303911000 冷凍魚肝
0303912010 冷凍鱘魚魚卵及魚白
0303912090 其他冷凍魚卵及魚白
0303920000 冷凍鯊魚翅
0303991000 冷凍魚皮
0303992010 冷凍鯊魚尾
0303992090 其他冷凍魚尾及魚骨
0303999010 鰻魚雜，冷凍
0303999020 冷凍鯊魚尾鰭上半部
0303999090 其他冷凍魚頭、魚唇、魚鰾及其他魚雜碎
0304310000 生鮮或冷藏吳郭魚片
0304320000 生鮮或冷藏鯰魚片
0304330000 生鮮或冷藏尼羅河鱸魚片
0304390010 生鮮或冷藏鰻魚片
0304390090 其他魚片，生鮮或冷藏
0304410000 生鮮或冷藏太平洋鮭、大西洋鮭及多瑙河鮭魚片
0304420000 生鮮或冷藏鱒魚片
0304430000 生鮮或冷藏扁魚類魚片
0304440000 生鮮或冷藏海鰗鰍科、歪尾鱈科、鱈科、鼠尾鱈科、黑鱈科、無鬚鱈科、稚鱈科及鰻鱗鱈科魚片
0304450000 生鮮或冷藏劍旗魚片
0304460000 生鮮或冷藏美露鱈魚片
0304470010 生鮮或冷藏鯨鯊魚片
0304470090 生鮮或冷藏角鯊及其他鯊魚片
0304480000 生鮮或冷藏鰩及魟魚片
0304491000 生鮮或冷藏鱔魚魚片
0304492000 其他鯰魚片，生鮮或冷藏
0304493000 其他鮭鱒魚片，生鮮或冷藏
0304499011 生鮮或冷藏大西洋及太平洋黑鮪魚片
0304499012 生鮮或冷藏南方黑鮪魚片
0304499013 生鮮或冷藏大目鮪魚片
0304499014 生鮮或冷藏長鰭鮪魚片
0304499015 生鮮或冷藏黃鰭鮪魚片
0304499019 其他生鮮或冷藏鮪魚（鮪屬）魚片
0304499030 生鮮或冷藏鱸魚片
0304499040 生鮮或冷藏河魨（豚）魚片
0304499050 生鮮或冷藏石斑魚片
0304499060 生鮮或冷藏虱目魚片
0304499071 生鮮或冷藏大白鯊魚片
0304499072 生鮮或冷藏象鮫魚片
0304499073 生鮮或冷藏巨口鯊魚片
0304499080 生鮮或冷藏鬼蝠魟（前口蝠鱝）屬魚片
0304499091 生鮮或冷藏正鰹魚片
0304499099 其他魚片，生鮮或冷藏
0304511000 生鮮或冷藏鯰魚肉（不論是否經剁細）
0304519010 生鮮或冷藏鰻魚肉（不論是否經剁細）
